round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.26963,0.0,0.36723,0.17054,nan,2.99561,114.5
2,0.66425,0.105,0.24993,0.06822,nan,2.99549,228.9
3,0.83988,0.24875,0.20468,0.04742,nan,2.99542,344.7
4,0.89812,0.71625,0.07573,0.03566,nan,2.99553,459.4
5,0.919,0.74871,0.0673,0.02993,nan,2.99549,573.8
6,0.93012,0.84536,0.04931,0.02487,nan,2.99542,691.6
7,0.94575,0.89125,0.03469,0.02687,nan,2.99559,808.3
8,0.95037,0.88918,0.03007,0.01987,nan,2.99555,922.9
9,0.9535,0.91875,0.02764,0.01919,nan,2.99543,1038.0
10,0.95362,0.91108,0.02845,0.015,nan,2.99553,1152.2
11,0.95688,0.90335,0.02667,0.01865,nan,2.99554,1268.1
12,0.95962,0.91881,0.02316,0.01506,nan,2.99554,1383.1
13,0.96325,0.90375,0.02574,0.01429,nan,2.99557,1497.2
14,0.95913,0.87875,0.0338,0.01248,nan,2.99549,1612.2
15,0.96262,0.90887,0.0233,0.01367,nan,2.99556,1727.7
16,0.97013,0.9225,0.01892,0.01315,nan,2.99556,1842.0
17,0.966,0.93473,0.02108,0.01032,nan,2.99552,1956.8
18,0.969,0.92625,0.01901,0.01153,nan,2.99557,2071.0
19,0.965,0.90148,0.0249,0.01002,nan,2.99547,2186.1
20,0.9705,0.92875,0.018,0.00909,nan,2.99556,2300.3
21,0.97175,0.945,0.0161,0.01056,nan,2.99555,2414.7
22,0.9725,0.94125,0.01664,0.01049,nan,2.99547,2534.2
23,0.97188,0.94458,0.01576,0.00936,nan,2.99551,2650.0
24,0.973,0.9425,0.01421,0.00831,nan,2.99554,2764.5
25,0.9725,0.93814,0.01638,0.00796,nan,2.99558,2879.3
26,0.97062,0.90851,0.02458,0.00831,nan,2.9955,2993.5
27,0.97525,0.925,0.02005,0.00837,nan,2.99559,3108.6
28,0.9735,0.93814,0.01692,0.008,nan,2.9956,3225.7
29,0.97675,0.9317,0.01886,0.00714,nan,2.99558,3339.8
30,0.978,0.94072,0.01837,0.00709,nan,2.99542,3456.2
31,0.97913,0.94625,0.01303,0.00687,nan,2.99554,3570.4
32,0.97937,0.9525,0.01165,0.00719,nan,2.99554,3684.9
33,0.9815,0.95625,0.01165,0.00758,nan,2.99552,3799.1
34,0.97925,0.955,0.0105,0.00723,nan,2.99557,3913.2
35,0.98088,0.95625,0.01247,0.00693,nan,2.99547,4027.3
36,0.97937,0.95875,0.01286,0.00577,nan,2.99544,4143.5
37,0.98,0.96,0.0102,0.00698,nan,2.9956,4257.7
38,0.98062,0.95375,0.0132,0.00637,nan,2.99556,4374.4
39,0.98062,0.94875,0.01283,0.00706,nan,2.99552,4489.6
40,0.98075,0.96305,0.01164,0.00567,nan,2.99545,4605.1
41,0.97862,0.9425,0.01716,0.00434,nan,2.99553,4719.2
42,0.9815,0.9625,0.00898,0.00685,nan,2.99554,4832.2
43,0.98,0.9569,0.01329,0.00665,nan,2.99558,4945.6
44,0.982,0.965,0.00985,0.00602,nan,2.99556,5060.5
45,0.98288,0.94625,0.01359,0.00543,nan,2.99556,5175.2
46,0.98275,0.95875,0.01008,0.00605,nan,2.99555,5291.3
47,0.984,0.955,0.01187,0.00495,nan,2.99548,5404.9
48,0.98375,0.965,0.00896,0.00543,nan,2.99551,5518.2
49,0.98375,0.96,0.01192,0.00474,nan,2.99551,5634.1
50,0.98487,0.9725,0.00709,0.0058,nan,2.99558,5749.0
