round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.37588,0.0,0.36288,0.19265,nan,2.99552,113.1
2,0.68775,0.00369,0.28642,0.08098,nan,2.99546,226.0
3,0.83925,0.57253,0.13355,0.04855,nan,2.99551,340.9
4,0.86762,0.609,0.12654,0.03617,nan,2.99541,455.2
5,0.9185,0.76127,0.06621,0.03164,nan,2.99554,568.7
6,0.935,0.85993,0.04541,0.02279,nan,2.99554,682.8
7,0.94263,0.85018,0.04,0.02569,nan,2.99549,796.9
8,0.94825,0.89227,0.02996,0.02026,nan,2.99546,910.5
9,0.95362,0.90499,0.02874,0.01894,nan,2.9955,1023.9
10,0.96037,0.90875,0.0239,0.01605,nan,2.99547,1137.2
11,0.962,0.90134,0.02389,0.01614,nan,2.99557,1254.2
12,0.96488,0.92649,0.02077,0.01488,nan,2.99562,1368.1
13,0.96625,0.92269,0.02047,0.01453,nan,2.99542,1481.6
14,0.96613,0.9448,0.01714,0.01239,nan,2.99552,1596.9
15,0.96962,0.93916,0.01546,0.01145,nan,2.99547,1715.3
16,0.96675,0.93423,0.01698,0.01165,nan,2.99556,1829.3
17,0.96975,0.92692,0.01949,0.00836,nan,2.99558,1942.7
18,0.97213,0.94519,0.01724,0.01065,nan,2.99559,2056.6
19,0.97388,0.93283,0.01774,0.01094,nan,2.99553,2171.9
20,0.975,0.95184,0.01418,0.01071,nan,2.99546,2285.9
21,0.97337,0.9455,0.01366,0.00993,nan,2.9955,2399.0
22,0.97513,0.95437,0.01024,0.00935,nan,2.99554,2512.8
23,0.97525,0.95941,0.01046,0.00933,nan,2.99542,2625.9
24,0.97513,0.9493,0.01403,0.0078,nan,2.99551,2739.0
25,0.978,0.95572,0.01265,0.00746,nan,2.99549,2853.3
26,0.9755,0.95507,0.01149,0.00847,nan,2.99551,2965.8
27,0.97762,0.96224,0.00937,0.0064,nan,2.99553,3085.4
28,0.97762,0.96149,0.01109,0.00692,nan,2.99544,3199.5
29,0.97675,0.96064,0.01047,0.00779,nan,2.99555,3312.9
30,0.97688,0.96346,0.01053,0.00679,nan,2.99551,3426.2
31,0.97825,0.95941,0.01181,0.00691,nan,2.99545,3539.9
32,0.97937,0.95818,0.01138,0.00712,nan,2.99554,3654.4
33,0.97725,0.94608,0.01256,0.00741,nan,2.99556,3767.6
34,0.98037,0.96187,0.0086,0.00637,nan,2.99546,3882.5
35,0.97988,0.96064,0.00933,0.0072,nan,2.99551,3996.6
36,0.97975,0.96187,0.00846,0.00657,nan,2.99557,4111.2
37,0.98125,0.95941,0.01021,0.00605,nan,2.99556,4224.6
38,0.9815,0.96556,0.0095,0.00689,nan,2.99545,4339.4
39,0.98188,0.96662,0.01046,0.00596,nan,2.99535,4453.0
40,0.98037,0.96071,0.01123,0.00576,nan,2.9956,4567.1
41,0.981,0.96277,0.009,0.00669,nan,2.99554,4679.5
42,0.98225,0.96556,0.00849,0.00548,nan,2.9955,4794.7
43,0.981,0.94737,0.01291,0.00481,nan,2.9956,4910.2
44,0.98275,0.96679,0.00914,0.00507,nan,2.99551,5023.3
45,0.98362,0.96433,0.00963,0.00526,nan,2.99552,5137.3
46,0.98362,0.96187,0.00974,0.00528,nan,2.99556,5250.2
47,0.98362,0.96925,0.00744,0.0063,nan,2.99552,5363.7
48,0.9835,0.96958,0.00894,0.00544,nan,2.99558,5477.3
49,0.984,0.96705,0.00923,0.00471,nan,2.99538,5591.7
50,0.9845,0.96925,0.0079,0.00513,nan,2.99541,5706.6
